"전철역명","호선","gu","dong","x","y"
"강동역","05호선","강동구","천호3동","127.132396300314","37.5358819145235"
"길동역","05호선","강동구","길동","127.140021295948","37.5378264874159"
"굽은다리역","05호선","강동구","천호1동","127.142882741733","37.5455175915913"
"명일역","05호선","강동구","명일1동","127.14404374474","37.5513978958277"
"고덕역","05호선","강동구","명일2동","127.154163876055","37.5550467687924"
"상일동역","05호선","강동구","고덕2동","127.165905758209","37.5566778757215"
"둔촌동역","05호선","강동구","둔촌1동","127.13621464981398","37.52765684247226"
"올림픽공원역","05호선","송파구","오륜동","127.130963675401","37.5163389870117"
"올림픽공원역","05호선","송파구","오륜동","127.130963675401","37.5163389870117"
"방이역","05호선","송파구","방이1동","127.126096046986","37.5087506251989"
"오금역","05호선","송파구","오금동","127.127953219596","37.5021388575469"
"오금역","05호선","송파구","오금동","127.127953219596","37.5021388575469"
"개롱역","05호선","송파구","오금동","127.135079598384","37.4979682783882"
"거여역","05호선","송파구","거여1동","127.143773841911","37.4933304500736"
"마천역","05호선","송파구","마천1동","127.152859864985","37.4950381629493"
"미사역","05호선","하남시","미사1동","127.192490980441","37.562991348199"
"하남풍산역","05호선","하남시","덕풍3동","127.204006631381","37.5522898049699"
"응암역","06호선","은평구","신사1동","126.915542187709","37.5984910629281"
"역촌","06호선","은평구","역촌동","126.917258344574","37.6112466906903"
"불광역","06호선","은평구","불광1동","126.930315826401","37.6100477979795"
"불광역","06호선","은평구","불광1동","126.930315826401","37.6100477979795"
"독바위역","06호선","은평구","불광1동","126.933053652461","37.6184141599944"
"연신내역","06호선","은평구","갈현1동","126.921100704496","37.6192032466353"
"연신내역","06호선","은평구","갈현1동","126.921100704496","37.6192032466353"
"구산역","06호선","은평구","역촌동","126.917258344574","37.6112466906903"
"새절역","06호선","은평구","신사2동","126.913580663181","37.5908600479967"
"증산역","06호선","은평구","증산동","126.909494991105","37.583746353282"
"디지털미디어시티역","06호선","마포구","상암동","126.901276653303","37.5760128452483"
"월드컵경기장역","06호선","마포구","성산2동","126.899098148061","37.5696355653344"
"마포구청역","06호선","마포구","성산2동","126.903425598797","37.5634871865932"
"망원역","06호선","마포구","서교동","126.910094329982","37.5560826563712"
"합정역","06호선","마포구","서교동","126.914456329462","37.5499122605939"
"합정역","06호선","마포구","서교동","126.914456329462","37.5499122605939"
"상수역","06호선","마포구","서강동","126.92242989321456","37.54776618366393"
"광흥창역","06호선","마포구","서강동","126.93203078679","37.547487384826"
"대흥역","06호선","마포구","대흥동","126.942473188734","37.5476479056751"
"공덕역","06호선","마포구","아현동","126.951451177648","37.5445416897534"
"공덕역","06호선","마포구","아현동","126.951451177648","37.5445416897534"
"효창공원앞역","06호선","용산구","효창동","126.96139810075","37.5393087503306"
"삼각지역","06호선","용산구","한강로동","126.972922951307","37.5344393447708"
"삼각지역","06호선","용산구","한강로동","126.972922951307","37.5344393447708"
"녹사평역","06호선","용산구","용산2가동","126.9865496751","37.5347227952064"
"이태원역","06호선","용산구","이태원1동","126.994333861918","37.5345252050511"
"한강진역","06호선","용산구","한남동","127.001765135176","37.5397907743775"
"버티고개역","06호선","중구","약수동","127.006730866101","37.5478275106099"
"약수역","06호선","중구","약수동","127.010891666957","37.5545053994984"
"약수역","06호선","중구","약수동","127.010891666957","37.5545053994984"
"장승배기역","07호선","동작구","상도2동","126.939072381356","37.5048990621814"
"청구역","06호선","중구","동화동","127.013943845279","37.5602101936978"
"청구역","06호선","중구","동화동","127.013943845279","37.5602101936978"
"신당역","06호선","중구","황학동","127.019477533278","37.5656730531732"
"신당역","06호선","중구","황학동","127.019477533278","37.5656730531732"
"동묘앞역","06호선","종로구","숭인2동","127.016364227103","37.5732166600283"
"동묘앞역","06호선","종로구","숭인2동","127.016364227103","37.5732166600283"
"창신역","06호선","종로구","숭인1동","127.015296884838","37.5794156449305"
"보문역","06호선","성북구","보문동","127.020003515933","37.585541696968"
"안암역","06호선","성북구","안암동","127.029233420248","37.586307417971"
"고려대역","06호선","동대문구","제기동","127.036309418348","37.5904428112875"
"월곡역","06호선","성북구","월곡2동","127.041460725816","37.6018044172918"
"상월곡역","06호선","성북구","월곡2동","127.048829192974","37.6065588265169"
"돌곶이역","06호선","성북구","석관동","127.0564381246322","37.61054501416126"
"석계역","06호선","노원구","월계1동","127.06568833149365","37.61500552794792"
"태릉입구역","06호선","노원구","공릉1동","127.075405300578","37.618459513199"
"태릉입구역","06호선","노원구","공릉1동","127.075405300578","37.618459513199"
"화랑대역","06호선","노원구","공릉2동","127.08354407564","37.6198415528121"
"봉화산역","06호선","중랑구","신내2동","127.091361250519","37.6173526373999"
"신내역","06호선","중랑구","망우본동","127.104271439503","37.6124910157349"
"장암역","07호선","의정부시","장암동","127.052818310578","37.699956566426"
