"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"도봉구","쌍문1동",1510,1583,1251,1347,5691,913,3831,89,1,42,784.771333333333,1110051
"도봉구","쌍문2동",1141,1404,1250,1372,5167,1280,5572,75,0,13,280.47619047619,1110052
"도봉구","쌍문3동",1081,1425,1172,1206,4884,966,4182,53,0,16,1197.03666666667,1110053
"도봉구","쌍문4동",1257,1307,1036,1289,4889,611,2093,53,0,15,858.666666666667,1110054
"도봉구","방학1동",1852,2054,1591,1757,7254,2350,13653,112,0,33,602.10195035461,1110055
"도봉구","방학2동",1322,1401,1024,1186,4933,1219,2909,52,0,20,528.646464646465,1110056
"도봉구","방학3동",1672,1697,1530,1686,6585,898,3169,61,0,32,364.047619047619,1110057
"도봉구","창1동",1582,1725,1603,1804,6714,1538,3958,137,0,23,943.363888888889,1110059
"도봉구","창2동",1910,2229,1917,2227,8283,1410,4428,121,0,24,813.530701754386,1110060
"도봉구","창3동",857,969,782,933,3541,915,2170,45,0,15,341.122549019608,1110061
"도봉구","창4동",1834,1904,1571,1845,7154,1319,7530,107,0,32,636.339743589744,1110062
"도봉구","창5동",1703,2021,1707,1851,7282,2157,7359,106,0,21,579.815860215054,1110063
"도봉구","도봉1동",1162,1471,1161,1249,5043,1626,5766,87,0,37,501.232142857143,1110064
"도봉구","도봉2동",1525,1814,1664,1982,6985,1426,6319,89,0,46,911.216666666667,1110065
"노원구","월계1동",2043,1819,1308,1407,6577,1466,6721,75,1,47,685.263636363636,1111051
"노원구","월계2동",1638,1606,1394,1845,6483,930,3255,102,1,35,581.056818181818,1111052
"노원구","월계3동",1684,1916,2120,2517,8237,996,4143,150,0,24,1489.63888888889,1111053
"노원구","공릉2동",3710,2997,2460,2767,11934,1955,11629,166,4,60,1025.2865497076,1111056
"노원구","하계1동",2634,2055,1426,1323,7438,1088,7931,69,0,36,801.714912280702,1111058
"노원구","하계2동",1625,1465,1189,1368,5647,414,1220,66,0,20,310.491666666667,1111059
"노원구","중계본동",1860,1384,814,1096,5154,1205,5602,39,0,19,350,1111060
"노원구","중계1동",1775,1195,759,1253,4982,1050,4205,31,0,18,961.992708333333,1111061
"노원구","중계4동",1435,1180,853,1140,4608,1059,3923,76,0,6,1281.92,1111064
"노원구","상계1동",2594,2707,2309,2622,10232,3183,9518,131,0,31,852.711599099099,1111065
"노원구","상계2동",1652,1663,1165,1167,5647,2668,10536,59,0,30,548.509523809524,1111066
"노원구","상계5동",1666,1821,1282,1344,6113,1567,4936,81,0,23,598.017543859649,1111069
"노원구","상계8동",1222,1471,2216,2511,7420,484,1697,212,0,16,795.020946346026,1111072
"노원구","상계9동",1434,1319,1302,1506,5561,698,2520,76,0,22,795.020946346026,1111073
"노원구","상계10동",1224,1342,1301,1365,5232,515,2188,100,0,24,795.020946346026,1111074
"노원구","상계3.4동",1627,1624,1353,1613,6217,1196,3787,89,0,24,728.002450980392,1111076
"노원구","상계6.7동",2192,2438,2377,2558,9565,1921,15772,155,1,32,531.123737373737,1111077
"노원구","중계2.3동",2261,2078,1994,2310,8643,1382,5153,131,0,33,1243.73782051282,1111078
"노원구","공릉1동",3330,3496,2604,2802,12232,2841,11948,153,0,53,730.867285478548,1111079
"은평구","녹번동",2140,2928,2902,3163,11133,1962,9531,218,0,29,1919.56986714976,1112051
"은평구","불광1동",2395,3077,2595,2848,10915,1627,7034,210,0,39,1179.075,1112052
"은평구","갈현1동",1639,2113,1572,1484,6808,1498,4881,110,0,47,521.671875,1112055
"은평구","갈현2동",2034,2340,1851,2067,8292,1579,5985,78,0,32,860.921568627451,1112056
"은평구","구산동",2079,2362,1864,2254,8559,1216,5509,97,0,31,1097.84938271605,1112057
"은평구","대조동",1934,2962,2221,1970,9087,2430,7864,156,0,28,802.540895061728,1112058
"은평구","응암1동",1781,2426,2485,2671,9363,1661,7831,203,0,22,693.725771604938,1112059
"은평구","응암2동",1310,1452,1990,3063,7815,707,2102,121,0,32,2379.47073412698,1112060
"은평구","신사1동",1725,2197,1954,2149,8025,1347,4066,111,1,22,812.024390243902,1112065
"은평구","신사2동",1342,1593,1313,1485,5733,1704,3716,72,0,32,376.535984848485,1112066
"은평구","증산동",927,1184,1007,1020,4138,945,3619,58,0,14,664.796296296296,1112067
"은평구","수색동",661,831,806,931,3229,514,2264,52,0,20,444.791666666667,1112068
"은평구","진관동",3361,3744,3150,3739,13994,1894,12366,165,0,69,940.668186003683,1112071
"은평구","불광2동",1853,2494,1981,1879,8207,1295,3943,107,0,25,776.642156862745,1112072
"은평구","응암3동",1576,2065,1664,1723,7028,1768,5142,104,0,25,676.920542635659,1112073
"은평구","역촌동",2925,3608,3123,3578,13234,2534,7778,199,0,50,971.749368686869,1112074
